frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
72,509.0,[525.0808599025204 633.042847931356 841.6521878864016 883.3202275460702],[641.5819702148438 786.9197387695312 733.2135009765625 828.7267456054688],0.4840044379234314,GX15OGJ,0.40078423899424814
73,-1,[-1 -1 -1 -1],[1269.8338623046875 1044.4691162109375 1377.4566650390625 1080.0],0.5659186244010925,CN75IST,0.09559319393948686
73,509.0,[524.772069031867 636.3243589079661 840.7494017478155 886.964032678193],[634.57861328125 793.2262573242188 736.7944946289062 833.7559204101562],0.44473719596862793,GX15OEJ,0.6980106156371354
75,509.0,[523.3803292384873 639.6036684747743 842.8600705102617 891.2762293645354],[627.2020263671875 797.9788208007812 724.0474243164062 840.7493286132812],0.5304434895515442,GX15OGJ,0.44119816469549833
87,509.0,[498.0545181540381 667.5828373368546 841.0833571620924 934.7538195264311],[622.2540893554688 836.207763671875 719.4457397460938 878.2978515625],0.5500000715255737,GX15OGJ,0.5452700348834439
89,509.0,[497.53759035109385 674.2790995249329 843.2065647337018 942.7951150606939],[613.3519287109375 843.1814575195312 712.5505981445312 885.9003295898438],0.5569009184837341,GX15OGJ,0.3649220447015621
90,509.0,[496.39006192714066 676.7738666280384 843.0494171005306 946.2959582378485],[616.00048828125 846.4059448242188 717.925048828125 891.4465942382812],0.5940222144126892,GX15OGJ,0.2687943899565475
91,509.0,[492.34121171752224 680.5692106992989 842.4489094472927 950.3843032841077],[612.3076782226562 846.6828002929688 701.3082885742188 893.9007568359375],0.4934268593788147,CX15OGJ,0.2503947666104448
92,509.0,[489.81766740740295 683.3008068719732 842.5282704395722 953.781690734138],[613.8252563476562 851.054443359375 717.9652099609375 897.3292236328125],0.5257084369659424,CX15OGJ,0.2830103604232838
93,509.0,[488.52347161553075 683.8121756202604 843.0242680248327 954.8276188143061],[612.5494384765625 854.9467163085938 706.5405883789062 896.4512329101562],0.41475456953048706,GX15OGJ,0.5781841519147869
97,509.0,[480.61857808991704 695.5986686269057 840.4166464531972 973.1132664137231],[611.376708984375 870.8287963867188 710.5045166015625 913.8560180664062],0.6413972973823547,GX15OGJ,0.5110309367317045
99,509.0,[477.2140205131807 703.0256605886428 837.9435781666257 981.1003020415502],[598.9830932617188 872.9915771484375 711.0615844726562 918.194091796875],0.5677222609519958,GX15OGJ,0.32087328425281364
100,509.0,[475.61719836670284 705.8129242515189 838.0396969806162 985.7862326954354],[601.0701293945312 882.7278442382812 707.2141723632812 924.208740234375],0.5582213401794434,GX15OGJ,0.24037503834013238
101,509.0,[473.49472512057 709.1514763332148 837.3011120026664 989.7505347505294],[604.5914306640625 886.4954223632812 704.2167358398438 928.4426879882812],0.6101572513580322,GX15OGJ,0.05196953430243288
102,509.0,[473.3319365838217 712.4672776115824 836.7899653046941 993.945244265605],[606.353759765625 893.17822265625 705.1668090820312 928.6426391601562],0.42194685339927673,GY15OCJ,0.8314762779977123
106,509.0,[469.7170031274923 725.2917331531764 835.2501502943596 1009.3897655674657],[596.865966796875 903.8911743164062 696.2631225585938 947.2728881835938],0.5674418210983276,GX15OCJ,0.3924551604439089
107,509.0,[466.6448140037355 729.96199297031 833.2783996255564 1015.6806487648238],[597.7613525390625 909.4400634765625 697.174072265625 951.5698852539062],0.578563928604126,GX15OGJ,0.4741230485721839
108,509.0,[464.70074059785816 731.9268143605887 832.177362909074 1019.7079779652674],[582.1439819335938 908.5631103515625 696.4801025390625 956.364990234375],0.601555347442627,GX15OCJ,0.1999057931068425
109,504.0,[1028.2357606529106 563.4948292918208 1282.5288610662808 787.3110297684462],[1111.0118408203125 699.8146362304688 1212.9437255859375 743.2531127929688],0.44804152846336365,AP05JEO,0.20948373684433746
110,509.0,[462.6598989999259 738.9709629306705 830.7439221026093 1029.3207898903627],[590.8467407226562 919.5458374023438 690.6586303710938 965.613525390625],0.6114621758460999,GY15OGJ,0.787826440420603
113,509.0,[454.9582472184692 749.2621155240081 828.0815438741371 1043.8075908933606],[581.1376342773438 932.9533081054688 690.924560546875 981.4901733398438],0.6012885570526123,GX15UCJ,0.38366380964826174
114,504.0,[1026.2344100057862 569.8345900982453 1288.4810637334344 796.1521286113617],[1111.4952392578125 712.7871704101562 1214.2291259765625 756.4413452148438],0.3659161329269409,AF05JEQ,0.3149338363779238
115,509.0,[449.93398029627684 755.7350127932257 827.4991679087884 1051.5000441009513],[578.6122436523438 941.8348388671875 690.8057250976562 987.3517456054688],0.6287152171134949,GX15OGJ,0.5118235078922997
115,504.0,[1027.2083543814206 571.1044444573581 1290.3886810689764 798.6401067705012],[1113.4461669921875 712.8864135742188 1217.39404296875 755.8532104492188],0.46204641461372375,AF05JEO,0.5211616871991015
116,509.0,[447.2997144747073 759.0506809511306 826.0872713483866 1054.470947479493],[573.4397583007812 943.712646484375 691.4476318359375 992.746826171875],0.5737459659576416,GX15OGJ,0.3017593188677274
119,509.0,[441.247190952907 768.0990700992929 824.9468984309224 1061.536657983322],[572.3751220703125 957.7401733398438 686.9031982421875 1005.192138671875],0.6297038197517395,GY15OCJ,0.21538920197699488
120,504.0,[1025.5354763235198 581.4368012115752 1293.2093123571783 812.6019179171043],[1110.032958984375 721.8856811523438 1217.2020263671875 767.833251953125],0.4394835829734802,AP05JED,0.12022631187932875
121,504.0,[1025.4899272567015 583.6423819856407 1294.4747441773154 815.9594513403522],[1107.392578125 724.3101196289062 1214.84521484375 768.717041015625],0.4883599579334259,AP05JEO,0.31788534938878155
122,504.0,[1023.3227021558093 586.483172143193 1294.4078980052902 818.9031693443663],[1118.4287109375 733.0422973632812 1219.2337646484375 777.8690795898438],0.30876821279525757,AP05JEO,0.7749382474190556
123,509.0,[431.7676369414272 781.2671597054441 822.5225132991824 1075.5787837209334],[567.9034423828125 973.3185424804688 673.62744140625 1018.7545166015625],0.5158494114875793,GY15OGJ,0.2274335642254965
123,504.0,[1020.6940827098526 587.9184186171206 1294.4312589305648 820.6748553043144],[1115.337646484375 732.2044067382812 1214.9296875 775.0686645507812],0.3463333547115326,AF05JEQ,0.3841605933605745
124,509.0,[431.3209673026446 785.0412966322457 823.232867798538 1077.4777535888463],[569.3995971679688 980.163818359375 674.71875 1026.5888671875],0.6233499050140381,GY15OGJ,0.3936066799833565
125,509.0,[428.5759005369963 790.3648504502734 822.6804012933322 1079.0363923246864],[563.5441284179688 986.310791015625 670.0142822265625 1034.928955078125],0.6534601449966431,GY15OGJ,0.42573429683677044
125,504.0,[1023.4713099826969 593.2945880236982 1297.405175669258 825.9207904736329],[1111.2059326171875 733.5748901367188 1223.236328125 779.9161376953125],0.360416978597641,AP05JEO,0.2996920108160754
126,509.0,[426.2837166975345 793.9091793451377 821.907646526321 1078.8533142883707],[561.8508911132812 989.9100952148438 671.1956176757812 1036.2371826171875],0.6199090480804443,GY15OGJ,0.5092442304408953
126,504.0,[1023.2978593648522 594.3228397097149 1298.2077403274575 827.5001558275568],[1111.97705078125 735.7721557617188 1223.1763916015625 778.9216918945312],0.4831973910331726,AP05JEO,0.642605897499283
127,509.0,[423.33659921018096 797.7669448369769 820.5307671637574 1078.7869259602483],[554.5470581054688 991.1427612304688 666.8905029296875 1039.8326416015625],0.5991116762161255,GX15OGJ,0.39265621834905357
127,511.0,[561.3182571828582 548.4861790551143 808.4707220426732 762.9985451682581],[643.1046142578125 671.4955444335938 718.9996948242188 709.7737426757812],0.26950955390930176,VH05ZZL,0.06314828985260576
129,509.0,[418.00020383713877 803.188105036714 819.6595136460328 1077.075908376421],[559.5787353515625 1006.048095703125 660.7758178710938 1049.5045166015625],0.6586655378341675,GY15OGJ,0.5339074555960523
129,536.0,[1122.0790163406682 811.5462041215711 1489.2650239065852 1076.188508074863],[1255.9384765625 992.7227783203125 1364.6046142578125 1043.0087890625],0.492218941450119,LM13VCV,0.1555995697812539
130,509.0,[415.26002604206576 806.6022705664587 818.044754695965 1077.3680209730126],[551.7057495117188 1010.1626586914062 665.3922729492188 1057.530517578125],0.6715292930603027,GX15OGJ,0.5012622828052706
130,536.0,[1122.0193477548532 814.8444936871058 1491.146815586139 1075.804315934618],[1251.75634765625 998.6006469726562 1365.175537109375 1047.0924072265625],0.37750983238220215,LN13VCY,0.401610663102258
131,509.0,[416.11049041900236 811.6490544755128 818.0800728775241 1078.6044172997217],[547.6362915039062 1013.2664794921875 667.0153198242188 1063.01513671875],0.6782575249671936,GX15OGJ,0.3293869658873674
131,536.0,[1122.0852083502023 817.7622673289333 1490.7575255569518 1076.053262098053],[1254.281005859375 1005.9830932617188 1368.40576171875 1054.457275390625],0.6729395389556885,LN13VCV,0.19566446769886672
131,504.0,[1024.0357100095457 603.2228062995716 1300.9520031700704 840.4716986780656],[1114.902099609375 745.9359741210938 1224.42333984375 791.5277709960938],0.45800215005874634,AP05JEO,0.45310482112812756
132,509.0,[414.47028401924246 814.880502776538 815.0565238007357 1079.415244818806],[543.152587890625 1014.9563598632812 661.9797973632812 1061.189697265625],0.6628580689430237,GX15OGJ,0.3590219579225754
132,536.0,[1122.197249053582 821.3752994524998 1491.6989062725863 1076.5141545985061],[1257.473876953125 1004.9453125 1371.264404296875 1057.2471923828125],0.6521995663642883,LH13VCV,0.11947812137870803
132,504.0,[1024.6182540475295 604.3139309597652 1302.5467229256244 841.6253513217371],[1139.466796875 749.7698974609375 1231.3634033203125 791.5611572265625],0.33134400844573975,AP05JEO,0.40598168370155474
134,536.0,[1122.0279323495952 830.0500651944928 1494.169478671859 1079.844833284454],[1258.076416015625 1017.1928100585938 1371.9302978515625 1068.0985107421875],0.6480814814567566,LM13VCV,0.16548327115108138
134,504.0,[1022.0377207962925 607.5175422749177 1303.242142122076 845.662002955568],[1129.3714599609375 754.8955078125 1233.130126953125 799.1788330078125],0.44924691319465637,AP05JED,0.28372109591858513
135,509.0,[404.853105402822 826.586582945602 808.5048304022243 1081.5683078345633],[542.9192504882812 1034.236328125 660.5106811523438 1080.0],0.6689814925193787,GX15OGJ,0.19070674890047884
136,504.0,[1022.0439796584309 611.3581519810069 1306.8473539642157 850.3993875780596],[1125.0294189453125 758.7469482421875 1233.0806884765625 807.8646240234375],0.634967029094696,AP05JEO,0.7088934777740237
136,536.0,[1124.9830819288964 837.3197031498789 1497.5970154090587 1080.7293130240935],[1261.1044921875 1026.27001953125 1375.768798828125 1077.6094970703125],0.6078454852104187,LM13VCV,0.2838657759906448
136,509.0,[402.14956951324535 830.4981430126529 807.9108545899662 1082.3824476080865],[533.9509887695312 1037.5206298828125 648.8509521484375 1080.0],0.497897744178772,GX15FGJ,0.16192663931158374
137,536.0,[1126.0552246010138 841.5092469140188 1497.5825666929832 1081.6855996587863],[1262.1324462890625 1029.40771484375 1376.8363037109375 1080.0],0.6516261696815491,LN13VCV,0.4261057202434706
137,504.0,[1023.6201317714319 614.2666683108139 1308.4719806690543 853.558476275535],[1118.6798095703125 763.6428833007812 1232.1361083984375 803.6468505859375],0.5753414034843445,AP05JEQ,0.5269697792969888
138,536.0,[1127.1999739957457 844.8890089448603 1498.430220315716 1082.0601771595675],[1257.0611572265625 1029.7152099609375 1375.6221923828125 1080.0],0.49649742245674133,LM13VCV,0.5344982622986039
139,504.0,[1025.5241424693165 616.5916176995287 1311.916018021859 858.1275222787264],[1134.24169921875 768.8146362304688 1232.6412353515625 806.1491088867188],0.3834274113178253,AP05JEQ,0.3748135507980677
140,504.0,[1024.719078898033 618.7300302332499 1312.514559385135 862.0259511661422],[1127.052001953125 767.7192993164062 1229.3653564453125 810.7056884765625],0.28038763999938965,AP05JEO,0.2662185908093057
142,504.0,[1022.93384618092 621.3052202778879 1314.353427412361 868.0826358352167],[1119.1099853515625 768.9992065429688 1228.4151611328125 812.3380737304688],0.5436049699783325,AP05JEO,0.4671288323699487
143,511.0,[537.3622262504065 572.7710777390417 794.8446728361197 794.7537645639626],[622.5906372070312 703.5608520507812 703.3811645507812 743.8766479492188],0.4664284884929657,KK05ZZK,0.3013081909847304
144,504.0,[1023.625801658451 626.1090503377934 1317.8692310490126 875.2396180994422],[1134.3812255859375 777.7161254882812 1235.326171875 822.2708129882812],0.43577826023101807,AP05JEO,0.858584131541695
145,511.0,[535.9124951505144 576.816600065727 793.4218534362672 799.934625614726],[617.6891479492188 706.7455444335938 700.3126831054688 753.4776000976562],0.5377609729766846,KK05ZZK,0.10681391179984644
145,504.0,[1024.5387102437342 628.4955881454798 1319.1382658683854 878.6005975538101],[1121.767333984375 780.7472534179688 1217.6143798828125 822.1140747070312],0.3382030725479126,AP05JEO,0.1550830079279655
146,511.0,[534.1708072057606 579.1971208923055 792.353247767056 803.8664716944679],[616.5947265625 707.97802734375 701.329833984375 755.9243774414062],0.5397841334342957,KH05ZZK,0.27609876039502695
146,504.0,[1025.6055028616695 630.6963585085246 1320.575459563576 882.411675988086],[1126.586181640625 784.2445678710938 1239.021728515625 830.5501098632812],0.5161365866661072,AP05JED,0.2849600290980942
147,511.0,[530.9926893008452 580.5080553784567 791.2397783818088 805.9258424671314],[615.016357421875 707.679443359375 700.0086059570312 755.0205688476562],0.5133185982704163,KK05ZZK,0.1483411811477711
148,504.0,[1025.6694157863506 634.3679755155733 1323.430216946361 888.6526541803057],[1129.7757568359375 792.5211791992188 1217.5185546875 831.571533203125],0.4182264804840088,AP05JEQ,0.6940218585969126
149,511.0,[530.1445314157511 583.6302175023666 791.5085418783672 810.370388152176],[613.4520263671875 713.1985473632812 695.6544189453125 756.3220825195312],0.4752345383167267,KK05ZIK,0.5322749892863425
149,504.0,[1026.8655522752897 636.7868837498197 1327.1527695303857 892.7076133456942],[1134.428955078125 792.4055786132812 1228.0628662109375 829.9954833984375],0.38536491990089417,AP05JEO,0.2019035642245233
150,511.0,[528.5556661652098 585.3634790919343 791.0102705689488 811.5833575278193],[611.9989624023438 715.2660522460938 693.3642578125 756.1168823242188],0.4470458924770355,KR05ZZK,0.17031545987356372
150,504.0,[1027.0717286757476 637.8728000171424 1329.5753573103416 894.9000558580423],[1127.26220703125 791.9031372070312 1237.4429931640625 833.6460571289062],0.3729037344455719,AP05JEO,0.5988037134010105
151,504.0,[1023.9696464113251 640.0450817766473 1328.955553534495 896.9038911049477],[1126.92822265625 793.0321655273438 1240.5499267578125 837.6879272460938],0.4908648729324341,AP05JED,0.1234955123426287
152,504.0,[1024.0916467542918 642.3109891255473 1329.1081898925534 900.2802089213002],[1127.0980224609375 795.3623657226562 1237.9031982421875 844.6561889648438],0.40773817896842957,AP05JEO,0.338785670275535
153,504.0,[1023.8047812188993 643.0955881184075 1331.433615582941 901.8698613891174],[1133.30615234375 800.3245239257812 1246.208251953125 849.7977905273438],0.434306800365448,AP05JEO,0.8428130607027138
153,511.0,[525.0492958580056 589.5450678477799 788.9479853370302 816.9441215505484],[604.5175170898438 720.4683837890625 694.852783203125 764.564208984375],0.3508986830711365,KK05ZZK,0.1267239387221624
154,504.0,[1024.8019341427953 645.3053928400911 1335.5238887534774 904.6352182273977],[1133.488037109375 803.8090209960938 1241.3638916015625 847.7964477539062],0.4498206377029419,AP05JEO,0.6368356189694854
154,511.0,[523.836462594438 590.9457668966394 788.0706573042382 819.205937085651],[606.942138671875 725.5147705078125 694.7853393554688 770.7189331054688],0.42281875014305115,KK05ZZK,0.24329311638649231
155,504.0,[1025.581983552184 650.163804946815 1335.8105244946526 909.579208417888],[1139.0709228515625 807.331787109375 1248.95654296875 850.9127197265625],0.41496479511260986,AP05JED,0.37118761873434086
156,504.0,[1022.1826282647123 651.0838695759071 1333.5100786204628 911.1492857071601],[1133.8580322265625 809.7171020507812 1248.3399658203125 850.23193359375],0.5051225423812866,AP05JEO,0.26660198250538836
157,504.0,[1021.7091302701139 653.2538604820014 1333.9241124864038 913.7877099162873],[1141.3365478515625 816.2646484375 1249.6500244140625 853.293701171875],0.30783534049987793,AP05JEO,0.18399844977867338
158,511.0,[517.3748263978775 595.463466614926 784.9719517462074 829.6571503769018],[604.05419921875 735.7135620117188 693.4622192382812 778.9667358398438],0.3896122872829437,RH05ZTK,0.28902283510302984
158,504.0,[1021.6653799226825 655.0926299723614 1334.6601549205911 916.4661295852706],[1142.3360595703125 819.5499267578125 1239.17431640625 854.9700317382812],0.33650776743888855,AP05JEO,0.36418107129141786
159,511.0,[517.1074362818905 596.4707761172001 784.8888962652076 831.8769022452987],[602.7733764648438 735.683349609375 692.2127075195312 779.6480712890625],0.44851166009902954,XH05ZZX,0.06410705557294087
162,511.0,[513.2896335422264 602.5457038849595 784.1034929562478 838.1051650586032],[602.6306762695312 742.4218139648438 690.66796875 788.1524047851562],0.5053831338882446,KH05ZZK,0.12674422777983366
162,504.0,[1028.0102838946082 664.701066557722 1340.0328373314533 929.4375170851297],[1136.1185302734375 826.5933837890625 1245.2120361328125 871.16748046875],0.38555264472961426,AP05JED,0.5409529453433384
163,504.0,[1029.7756417997625 666.6656271616855 1341.3524398627833 933.0097944624458],[1139.586669921875 830.2777099609375 1247.7313232421875 876.0158081054688],0.5211144685745239,AP05JEQ,0.4477410345826446
164,504.0,[1032.8476544589007 669.1666924432297 1342.7073055254755 937.4386075562866],[1138.7850341796875 833.8798828125 1258.009765625 875.8787841796875],0.5371536612510681,AP05JEO,0.44606760935681944
165,511.0,[509.2268881356837 610.8899449103777 783.7184585935362 847.4547586827979],[601.6259765625 751.7127685546875 687.9072875976562 796.4571533203125],0.5454093217849731,XH05ZIK,0.21951707508444707
165,504.0,[1031.3428861294315 671.7047979207507 1341.5325439153894 941.1720428161432],[1141.362060546875 839.0687255859375 1240.754638671875 876.6767578125],0.357843816280365,AP05JED,0.15295552430328838
166,504.0,[1030.1102147925067 674.6163160365975 1341.8751335046818 944.640033394167],[1152.3131103515625 838.777587890625 1263.20849609375 880.9376220703125],0.379574716091156,AP05JEO,0.7438977040166184
169,504.0,[1039.7095925053704 680.1215704119286 1349.0866997362746 950.6093709899628],[1141.7169189453125 849.6421508789062 1250.440185546875 893.36279296875],0.522234320640564,AP05JEO,0.5116348945198848
169,511.0,[504.16249509060316 621.3456541918397 781.6156165328814 859.9954174732616],[597.2847290039062 757.5128173828125 685.6741943359375 803.646240234375],0.4747218191623688,KN05ZIX,0.4200018373181346
170,504.0,[1039.3117215206648 684.7022176837849 1349.4462456406459 955.84970326218],[1146.10107421875 853.7823486328125 1257.456298828125 896.663818359375],0.4437403678894043,AP25JED,0.4647298804516775
171,504.0,[1037.060122496861 687.2158002571342 1350.3814393575908 958.9521862848077],[1146.3265380859375 852.6513061523438 1264.974609375 899.7496948242188],0.5794073939323425,AP05JEO,0.4749712796828793
172,511.0,[502.6550348598645 628.6842704775422 781.0521530631235 865.1973370834053],[593.9141845703125 765.9744873046875 683.74951171875 810.6763916015625],0.5473510026931763,IK05ZZX,0.027377157101725
172,504.0,[1040.0472584101558 689.4200108916211 1353.2007412121743 962.0435018378812],[1146.34716796875 860.7346801757812 1259.4305419921875 902.2935791015625],0.4924609363079071,AP05JEO,0.33399570981376814
173,511.0,[501.2726187256577 631.386469850288 780.3867982524929 867.9635589036047],[592.6957397460938 770.2520751953125 684.9570922851562 816.2348022460938],0.5802144408226013,XN05ZZX,0.29234476166068163
173,504.0,[1042.2329214328413 692.7280226997983 1354.8892890479563 965.5914143335239],[1151.3079833984375 865.8403930664062 1269.8841552734375 908.074951171875],0.4025850296020508,AF05JEO,0.8495931910920637
174,504.0,[1041.6095201386117 696.3346406153878 1354.8733496604816 969.2513165197865],[1145.136962890625 866.0150756835938 1238.75439453125 905.5548706054688],0.39780402183532715,AP05JEC,0.7613524310260225
175,504.0,[1041.222561542209 699.9254516441936 1355.0408642442512 973.1758995807227],[1141.5655517578125 867.8596801757812 1244.147216796875 909.5066528320312],0.5486831665039062,AF05JED,0.27443595059299974
176,511.0,[499.02165489091567 638.5127155876229 778.7021481322515 875.1886266286443],[590.406494140625 779.763427734375 681.5457763671875 825.280517578125],0.5424257516860962,KN05ZTR,0.1010735506002043
